Title,Link,Company,Location,Date,Experience,Salary,Time,Apply Here,Category,Career Level,Qualification,vacancies
Export Documentation  ,https://www.careerokay.com//Job/job-listings-export-documentation-chenab-limited-102501,Chenab Limited,"Faisalabad,  - Pakistan","Mar 07,2023",3 Years,35k to 50k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102501,Accounting/Auditing,Experienced (Non-Managerial),Graduate,2
"Staff Need in Night Shift, Call Center Sales Representatives ",https://www.careerokay.com//Job/job-listings-staff-need-in-night-shift-call-center-sales-representatives-atrium-solution-102500,Atrium Solution,"Lahore,  - Pakistan","Mar 06,2023",Fresh Graduate,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102500,Sales,Student (Undergraduate/Graduate),Intermediate ,15
Front-End Engineer  ,https://www.careerokay.com//Job/job-listings-front-end-engineer-inqline-102499,INQLINE,"Karachi,  - Pakistan","Mar 06,2023",3 Years,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102499,Information Technology,Experienced (Non-Managerial),Bachelor,1
Search Engine Optimization Executive ,https://www.careerokay.com//Job/job-listings-search-engine-optimization-executive--102498,"Lahore, ","Lahore,  - Pakistan","Mar 06,2023",Fresh Graduate,5k to 5k (PKR) - Per Month,Internship Job,https://www.careerokay.com//Job/apply/102498,Marketing,Entry Level,Bs,5
International Sales Executive ,https://www.careerokay.com//Job/job-listings-international-sales-executive--102497,"Karachi, ","Karachi,  - Pakistan","Mar 06,2023",1 Year,40k to 45k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102497,Sales,Entry Level,Bachelor's ,3
Case Processing Officer-Trainee ,https://www.careerokay.com//Job/job-listings-case-processing-officer-trainee--102496,"Karachi, ","Karachi,  - Pakistan","Mar 06,2023",Fresh Graduate,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102496,Consulting,Entry Level,"B.com, bachelor",2
 Junior Educational Consultant ,https://www.careerokay.com//Job/job-listings-junior-educational-consultant--102495,"Karachi, ","Karachi,  - Pakistan","Mar 06,2023",Less than 1 Year,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102495,Consulting,Entry Level,"Bachelor, B.com",2
Associate Web Developer  ,https://www.careerokay.com//Job/job-listings-associate-web-developer-freelance-house-102494,Freelance House,"Lahore,  - Pakistan","Mar 06,2023",5 Years,100k to 130k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102494,Information Technology,Experienced (Non-Managerial),BSC / MSC,1
"Java, .NET, Python, and Cyber Security . ",https://www.careerokay.com//Job/job-listings-java-net-python-and-cyber-security---102493,"Magdeburg, ","Magdeburg,  - Germany","Mar 05,2023",4 Years,40 to 70 (USD) - Per Year,Full-Time Job,https://www.careerokay.com//Job/apply/102493,Information Technology,Experienced (Non-Managerial),Bachelor's,100
Call Center Agents Required for Night Shift ,https://www.careerokay.com//Job/job-listings-call-center-agents-required-for-night-shift-atrium-solution-102492,Atrium Solution,"Lahore,  - Pakistan","Mar 04,2023",Student,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102492,Sales,Student (Undergraduate/Graduate),Intermediate ,15
Jr. international Sales Executive  ,https://www.careerokay.com//Job/job-listings-jr-international-sales-executive-ge-solucions-102491,GE Solucions,"Karachi,  - Pakistan","Mar 04,2023",Student,25k to 30k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102491,Business Development,"Executive (SVP, VP, Department Head)",Bachelors,2
Call Center Sales Representatives Required Night Shift ,https://www.careerokay.com//Job/job-listings-call-center-sales-representatives-required-night-shift-atrium-solution-102490,Atrium Solution,"Lahore,  - Pakistan","Mar 03,2023",Student,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102490,Sales,Student (Undergraduate/Graduate),Intermediate ,15
Customer Service Representative  ,https://www.careerokay.com//Job/job-listings-customer-service-representative--102489,"Lahore, ","Lahore,  - Pakistan","Mar 03,2023",Student,30k to 80k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102489,Customer Service,Entry Level,Matric to B.A,15
SALE & MARKETING EXECUTIVE ,https://www.careerokay.com//Job/job-listings-sale-marketing-executive--102488,"Lahore, ","Lahore,  - Pakistan","Mar 03,2023",1 Year,25k to 35k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102488,Information Technology,Experienced (Non-Managerial),BACHELORS/MASTERS,2
Wix Developer ,https://www.careerokay.com//Job/job-listings-wix-developer--102487,"Lahore, ","Lahore,  - Pakistan","Mar 03,2023",1 Year,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102487,Other,Experienced (Non-Managerial),Short course,1
Call Center Agents Required for Night Shift in Johar Town ,https://www.careerokay.com//Job/job-listings-call-center-agents-required-for-night-shift-in-johar-town-atrium-solution-102486,Atrium Solution,"Lahore,  - Pakistan","Mar 02,2023",Student,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102486,Sales,Student (Undergraduate/Graduate),Intermediate ,20
German Speaker ,https://www.careerokay.com//Job/job-listings-german-speaker-ibex-102485,ibex.,"Lahore,  - Pakistan","Mar 02,2023",Fresh Graduate,100k to 120k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102485,Customer Service,Entry Level,O/A Level / Intermediate or above,10
French Speaker ,https://www.careerokay.com//Job/job-listings-french-speaker-ibex-102484,ibex.,"Lahore,  - Pakistan","Mar 02,2023",Fresh Graduate,100k to 120k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102484,Customer Service,Entry Level,O/A Level / Intermediate or above,10
Customer Support Specialist - International ,https://www.careerokay.com//Job/job-listings-customer-support-specialist-international-ibex-102483,ibex.,"Islamabad,  - Pakistan","Mar 01,2023",Fresh Graduate,70k to 75k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102483,Customer Service,Entry Level,O/A Level / Intermediate or above,50
Customer Support Executive - Domestic ,https://www.careerokay.com//Job/job-listings-customer-support-executive-domestic--102482,"Islamabad, ","Islamabad,  - Pakistan","Mar 01,2023",Fresh Graduate,25k to 29k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102482,Customer Service,Entry Level,Bachelors,50
Fresh Call Center Staff Required for Night Shift in Lahore ,https://www.careerokay.com//Job/job-listings-fresh-call-center-staff-required-for-night-shift-in-lahore-atrium-solution-102481,Atrium Solution,"Lahore,  - Pakistan","Feb 28,2023",Student,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102481,Sales,Student (Undergraduate/Graduate),Intermediate ,20
Admin Assistant  ,https://www.careerokay.com//Job/job-listings-admin-assistant--102480,"Karachi, ","Karachi,  - Pakistan","Feb 28,2023",3 Years,30k to 35k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102480,Administrative,Entry Level,B Com,1
Graphic Designer Clothing  ,https://www.careerokay.com//Job/job-listings-graphic-designer-clothing--102477,"Karachi, ","Karachi,  Islamabad,  Lahore,  Multan,  Rawalpindi,  Sialkot,  - Pakistan","Feb 28,2023",Student,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102477,Design,Student (High School/College),Bachelors,1
Sales  Persons ,https://www.careerokay.com//Job/job-listings-sales-persons--102476,"Karachi, ","Karachi,  - Pakistan","Feb 28,2023",3 Years,28k to 35k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102476,Sales,Entry Level,Intermediate,1
Manager Finance and Accounts ,https://www.careerokay.com//Job/job-listings-manager-finance-and-accounts-global-gums-chemicals-102475,Global Gums & Chemicals,"HUB - Baluchistan,  - Pakistan","Feb 28,2023",10 Years,200k to 250k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102475,Accounting/Auditing,Manager (Manager/Supervisor),ACCA or CA ,1
Call Center Agent  ,https://www.careerokay.com//Job/job-listings-call-center-agent-dollar-nests-102474,Dollar Nests ,"RAWALPINDI,  - Pakistan","Feb 27,2023",Less than 1 Year,35k to 80k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102474,Customer Service,Entry Level,Intermediate to Bachelors,13
Sales Dispatcher ,https://www.careerokay.com//Job/job-listings-sales-dispatcher--102473,"Lahore, ","Lahore,  Pakistan,  - Pakistan","Feb 27,2023",Fresh Graduate,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102473,Customer Service,Entry Level,Graduate,15
Call Center Sales Agents Required for Night Shift in Lahore ,https://www.careerokay.com//Job/job-listings-call-center-sales-agents-required-for-night-shift-in-lahore-atrium-solution-102472,Atrium Solution,"Lahore,  - Pakistan","Feb 27,2023",Student,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102472,Sales,Student (Undergraduate/Graduate),Intermediate ,20
Computer Operator  ,https://www.careerokay.com//Job/job-listings-computer-operator-vizro-private-limited-102470,Vizro Private Limited,"Multan,  - Pakistan","Feb 27,2023",Fresh Graduate,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102470,Information Technology,Entry Level,IT,1
Senior SEO Specialist  ,https://www.careerokay.com//Job/job-listings-senior-seo-specialist-vizro-private-limited-102469,Vizro Private Limited,"Multan,  - Pakistan","Feb 27,2023",2 Years,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102469,Information Technology,Manager (Manager/Supervisor),IT,2
 Brand Ambassador ,https://www.careerokay.com//Job/job-listings-brand-ambassador--102468,"Karachi, ","Karachi,  - Pakistan","Feb 27,2023",3 Years,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102468,Sales,Entry Level,Graduate,1
Jobs in Lahore for Freshers in Call Center Night Shift  ,https://www.careerokay.com//Job/job-listings-jobs-in-lahore-for-freshers-in-call-center-night-shift-atrium-solution-102467,Atrium Solution,"Lahore,  - Pakistan","Feb 25,2023",Student,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102467,Sales,Student (Undergraduate/Graduate),Intermediarte ,25
Marketing intern (remote) ,https://www.careerokay.com//Job/job-listings-marketing-intern-remote--102466,"Karachi, ","Karachi,  - Pakistan","Feb 25,2023",Fresh Graduate,Not disclosed,Internship Job,https://www.careerokay.com//Job/apply/102466,Marketing,Entry Level,BBA,15
Business Development Executive / Online Bidder ,https://www.careerokay.com//Job/job-listings-business-development-executive-online-bidder--102465,"Lahore, ","Lahore,  - Pakistan","Feb 25,2023",2 Years,25k to 90k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102465,Business Development,Entry Level,Bachelor's,3
Business Development Representative ,https://www.careerokay.com//Job/job-listings-business-development-representative--102464,"Lahore, ","Lahore,  - Pakistan","Feb 25,2023",Student,30k to 100k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102464,Business Development,Entry Level,Bachelors,10
Hiring New Staff for Call Center in USA Campaign (Lahore) ,https://www.careerokay.com//Job/job-listings-hiring-new-staff-for-call-center-in-usa-campaign-lahore-atrium-solution-102463,Atrium Solution,"Lahore,  - Pakistan","Feb 24,2023",Student,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102463,Sales,Student (Undergraduate/Graduate),Intermediate ,25
Call Center Officials ,https://www.careerokay.com//Job/job-listings-call-center-officials--102462,"Lahore, ","Lahore,  Pakistan,  - Pakistan","Feb 24,2023",Fresh Graduate,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102462,Customer Service,Entry Level,Graduate,15
Sales Officer ,https://www.careerokay.com//Job/job-listings-sales-officer--102461,"Karachi, ","Karachi,  - Pakistan","Feb 24,2023",1 Year,30k to 35k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102461,Customer Service,Experienced (Non-Managerial),Intermediate or Above,1
Dispensing Pharmacist ,https://www.careerokay.com//Job/job-listings-dispensing-pharmacist-glitz-pharmaceuticals-102460,Glitz Pharmaceuticals ,"Islamabad,   Rawalpindi,  - Pakistan","Feb 24,2023",1 Year,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102460,Manufacturing,Experienced (Non-Managerial),Pharm-D,1
Night Shift Jobs Available in Call Center (Lahore) ,https://www.careerokay.com//Job/job-listings-night-shift-jobs-available-in-call-center-lahore-atrium-solution-102458,Atrium Solution,"Lahore,  - Pakistan","Feb 23,2023",Fresh Graduate,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102458,Sales,Student (Undergraduate/Graduate),Intermediate ,15
Customer Service Representative  ,https://www.careerokay.com//Job/job-listings-customer-service-representative--102456,"Karachi, ","Karachi,  - Pakistan","Feb 23,2023",1 Year,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102456,Customer Service,Experienced (Non-Managerial),Graduation,2
Assistant Manager Operations - International ,https://www.careerokay.com//Job/job-listings-assistant-manager-operations-international--102455,"Karachi, ","Karachi,  - Pakistan","Feb 23,2023",5 Years,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102455,Customer Service,Manager (Manager/Supervisor),Bachelors,1
Phone Banking Officer ,https://www.careerokay.com//Job/job-listings-phone-banking-officer-prime-human-resources-services-102454,Prime Human Resources Services ,"Karachi,  - Pakistan","Feb 23,2023",Fresh Graduate,25k to 40k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102454,Customer Service,Entry Level,Must be Bachelor,30
Call Center Agent  ,https://www.careerokay.com//Job/job-listings-call-center-agent--102453,"Lahore Punjab, ","Lahore Punjab,  - Pakistan","Feb 23,2023",Student,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102453,Customer Service,Entry Level,Graduate,15
"Jobs in Lahore 2023, Call Center Night Shift USA Campaign ",https://www.careerokay.com//Job/job-listings-jobs-in-lahore-2023-call-center-night-shift-usa-campaign-atrium-solution-102452,Atrium Solution,"Lahore,  - Pakistan","Feb 22,2023",Student,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102452,Sales,Student (Undergraduate/Graduate),Intermediate ,15
Full Stack Engineer  ,https://www.careerokay.com//Job/job-listings-full-stack-engineer--102449,"Islamabad, ","Islamabad,  - Pakistan","Feb 22,2023",3 Years,200k to 300k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102449,Engineering,Experienced (Non-Managerial),BS IT ,1
 Document controller  ,https://www.careerokay.com//Job/job-listings-document-controller--102448,"LAHORE, ","LAHORE,  - Pakistan","Feb 22,2023",2 Years,25 to 35 (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102448,Engineering,Experienced (Non-Managerial),Intermediate ,1
Personal Brand Strategist ,https://www.careerokay.com//Job/job-listings-personal-brand-strategist--102447,"Karachi, ","Karachi,  Lahore,  Islamabad,  - Pakistan","Feb 22,2023",5 Years,40k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102447,Marketing,Manager (Manager/Supervisor),BSc/MSc in Marketing or relevant field,1
Customer Service Officer (Sales) ,https://www.careerokay.com//Job/job-listings-customer-service-officer-sales-mss-logistics-102445,MSS Logistics,"Lahore Punjab,  - Pakistan","Feb 21,2023",Less than 1 Year,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102445,Customer Service,Entry Level,Graduate,15
Technical Project Coordinator ,https://www.careerokay.com//Job/job-listings-technical-project-coordinator--102443,"Lahore, ","Lahore,  - Pakistan","Feb 21,2023",1 Year,70k to 100k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102443,Information Technology,Experienced (Non-Managerial),BSCS/BSIT/BSSE,2
Sales & Marketing Coordinator  ,https://www.careerokay.com//Job/job-listings-sales-marketing-coordinator--102442,"lahore, ","lahore,  - Pakistan","Feb 21,2023",3 Years,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102442,Business Development,Entry Level,"BA,FA",4
Tele sales Executive  ,https://www.careerokay.com//Job/job-listings-tele-sales-executive--102441,"Lahore Punjab, ","Lahore Punjab,  - Pakistan","Feb 20,2023",Fresh Graduate,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102441,Customer Service,Entry Level,Graduate,15
Call Center Customer Service Representative  ,https://www.careerokay.com//Job/job-listings-call-center-customer-service-representative--102440,"Lahore Punjab, ","Lahore Punjab,  - Pakistan","Feb 20,2023",Less than 1 Year,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102440,Customer Service,Entry Level,Graduate,10
Call Center Jobs ,https://www.careerokay.com//Job/job-listings-call-center-jobs-atrium-solution-102438,Atrium Solution,"Lahore,  - Pakistan","Feb 20,2023",Student,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102438,Sales,Student (Undergraduate/Graduate),Intermediate ,15
Cook and Mess Waiter ,https://www.careerokay.com//Job/job-listings-cook-and-mess-waiter-pakistan-machine-tool-factory-102436,Pakistan Machine Tool Factory,"Karachi,  - Pakistan","Feb 20,2023",Student,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102436,Administrative,Experienced (Non-Managerial),Matric,2
Manager -Admin & Security ,https://www.careerokay.com//Job/job-listings-manager-admin-security--102435,"Karachi, ","Karachi,  - Pakistan","Feb 20,2023",10 Years,Not disclosed,Full-Time Job,https://www.careerokay.com//Job/apply/102435,Administrative,Manager (Manager/Supervisor),Min Graduate Masters Preferred,1
Call Center Agents Required for Night Shift in Lahore ,https://www.careerokay.com//Job/job-listings-call-center-agents-required-for-night-shift-in-lahore-atrium-solution-102434,Atrium Solution,"Lahore,  - Pakistan","Feb 18,2023",Fresh Graduate,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102434,Sales,Student (Undergraduate/Graduate),Intermediate ,15
Call Center Agents Required in Lahore ,https://www.careerokay.com//Job/job-listings-call-center-agents-required-in-lahore-atrium-solution-102432,Atrium Solution,"Lahore,  - Pakistan","Feb 17,2023",Student,25k to 70k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102432,Sales,Entry Level,Intermediate ,15
Graphic Designer ,https://www.careerokay.com//Job/job-listings-graphic-designer--102428,"Multan, ","Multan,  - Pakistan","Feb 17,2023",1 Year,15k to 20k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102428,Other,Experienced (Non-Managerial),Bachelor,10
Web Developer ,https://www.careerokay.com//Job/job-listings-web-developer--102427,"Multan, ","Multan,  - Pakistan","Feb 17,2023",1 Year,20k to 45k (PKR) - Per Month,Full-Time Job,https://www.careerokay.com//Job/apply/102427,Other,Experienced (Non-Managerial),Bachelor,10
